skill,thumbnail_link,video_link,title,num_views,age,channel,snippet,duration,chapter,series
sap sd,https://i.ytimg.com/vi/7YUkIyTSZoY/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC33fj5LKHcfuuE-hTqzEFTrm6iOw,https://youtube.com/watch?v=7YUkIyTSZoY&t=10s&pp=ygUlQ291cnNlIHNhcCBzZCBzYXAgc2QgQnVzaW5lc3MgQW5hbHlzdA%3D%3D,What is SAP SD Explained | Introduction to SAP SD Basics,107K views,4 years ago,Learn with Whiteboard,"What is SAP SD ? For basics, SAP SD or SAP Sales and Distribution is a core functional module that allows organizations to store ...",4:57,,['0:10 What is SAP SD']
sap sd,https://i.ytimg.com/vi/Jy55GJ7W2N0/hqdefault.jpg?sqp=-oaymwEnCOADEI4CSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBkenzQzfl7qpeCMzfLlMYQtArGvA,https://youtube.com/watch?v=Jy55GJ7W2N0&pp=ygUlQ291cnNlIHNhcCBzZCBzYXAgc2QgQnVzaW5lc3MgQW5hbHlzdA%3D%3D,SAP SD Business Processes ECC/S4HANA |  Sivan's SAP SD Training,4K views,2 years ago,Sivan's SAP SD Training,SAP SD Business Processes 1. Order to Cash - OTC 2. Inquiry to Cash 3. Quotation to Cash 4. Cash Sales 5. Rush Order 6.,46:05,21,"['Business Processes', 'Prerequisites', 'Sales Document Types', 'Material Availability', 'Stock Inventory Availability', 'Create Inquiry', 'Sales Order', 'Create the Delivery', 'Status Overview', 'Post Goods Issue', 'Change in the Inventory Management', 'Billing Document', 'Create a Credit Memo Request', 'Credit Memo', 'Create the Credit Memo', 'Returns', 'Returns Order', 'Document Flow', 'Document Flow Process', 'Cash Sales and Rush Order', 'Create the Delivery Billing Document']"
sap sd,https://i.ytimg.com/vi/9JPCB4GXGQw/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAqDNNWeI21LbvbJtuTx_4Ywo6C_Q,https://youtube.com/watch?v=9JPCB4GXGQw&pp=ygUlQ291cnNlIHNhcCBzZCBzYXAgc2QgQnVzaW5lc3MgQW5hbHlzdA%3D%3D,SAP SD Business Analyst,437 views,8 years ago,Montreal Associates,Berufsbezeichnung: SAP SD Business Analyst Ihre Aufgabe : Anspruchsvolle Position im SAP SD Umfeld bei einem ...,0:40,,
sap sd,https://i.ytimg.com/vi/bVmOu9bzu54/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAjtJ-eMN0HzpfCNQ9hV8DXfK_yng,https://youtube.com/watch?v=bVmOu9bzu54&pp=ygUlQ291cnNlIHNhcCBzZCBzYXAgc2QgQnVzaW5lc3MgQW5hbHlzdA%3D%3D,SAP Complete Details | SAP FICO | SAP SD | SAP MM | SAP ABAP | SAP ARIBA @ZellEducation,86K views,2 years ago,Zell Education,"Title: SAP Complete Details, SAP FICO, SAP SD , SAP MM, SAP ABAP, SAP ARIBA@ZellEducation Are you curious about SAP ...",10:12,9,"['Introduction', 'What is an ERP', 'What is SAP', 'Eligibility', 'Academic Structure', 'Career Scope', 'Salary', 'Fees', 'Duration']"
sap sd,,https://youtube.com/shorts/4vrJAo4b_yk,SAP is Dumb.,113K views,2 years ago,4.0 Solutions,,SHORTS,,
sap sd,https://i.ytimg.com/vi/dVsHJs72ZRU/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAAU7Q950RQ8REaDqWBzVPvSSzdLQ,https://youtube.com/watch?v=dVsHJs72ZRU&pp=ygUlQ291cnNlIHNhcCBzZCBzYXAgc2QgQnVzaW5lc3MgQW5hbHlzdA%3D%3D,Master SAP SD (Sales & Distribution) | Live Demo for Beginners | SAP SD Training by Experts,42 views,4 months ago,GV TECHNOLOGIES,Welcome to Our SAP SD Live Demo! Are you ready to dive into the world of SAP Sales & Distribution? Whether you're a beginner ...,43:13,,
sap sd,https://i.ytimg.com/vi/_PR9NSIcIf4/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-CYAC0AWKAgwIABABGGogLih_MA8=&rs=AOn4CLCE3FdR5m86nBMJrTJsxObB2dt8rA,https://youtube.com/watch?v=_PR9NSIcIf4&pp=ygUlQ291cnNlIHNhcCBzZCBzYXAgc2QgQnVzaW5lc3MgQW5hbHlzdA%3D%3D,"LETS EXPLORE IDOC EDI, COMMON TRANSACTION FOR IDOC AND EDI RELATED IMPORTANT TRANSACTION CODES IN S4",40 views,2 days ago,RAISEOURSKILLS,SAP #SAPSD#saps4hanafinance KE51 #KE52 #PROFITCENTRE #salesorder #vf01 #ECOCKPIT #EDOC_COCKPIT #einvoice ...,2:22,,
sap sd,https://i.ytimg.com/vi/Kce5Ba6SnE4/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBrfoIHwp1HRHcbWunUJ-oZ9oXj6w,https://youtube.com/watch?v=Kce5Ba6SnE4&pp=ygUlQ291cnNlIHNhcCBzZCBzYXAgc2QgQnVzaW5lc3MgQW5hbHlzdA%3D%3D,What is SAP SD | SAP SD Careers | How you can grow in SAP| SAP Sales & Distribution #sapsd #careerq,8.1K views,2 years ago,CareerQ,"Hello People, In this video, I have discussed about the SAP SD tool and all about it. What is the job and scope, all things have ...",11:17,,
