skill,link,image_link,author,title,price,publisher,language,num_page,isbn,rankings,rating,num_rating
flume,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MjUyNDU1NjkyNTU3NjM5OjE3NDM5MjM5NTE6c3BfbXRmOjIwMDA0NzYzOTI5MTk5ODo6MDo6&url=%2FSolutions-Architects-Handbook-Kick-start-architecture%2Fdp%2F1801816611%2Fref%3Dsr_1_1_sspa%3Fcrid%3DSJ2602MC4ZE1%26keywords%3Dflume%2Bflume%2BData%2BArchitect%26qid%3D1743923950%26sprefix%3Dflume%2Bflume%2Bdata%2Barchitect%252Caps%252C673%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/71gUor3AYAL._SY385_.jpg,Saurabh Shrivastava,"  Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition ",   $71.99  ,"Packt Publishing; 2nd ed. edition (January 17, 2022)",English,588 pages,978-1801816618,"[(179, 'Computer Systems Analysis & Design (Books)'), (1137, 'Software Design, Testing & Engineering (Books)'), (1276, 'Programming Languages (Books)')]", 4.6 ,303 ratings
flume,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MjUyNDU1NjkyNTU3NjM5OjE3NDM5MjM5NTE6c3BfbXRmOjMwMDY5NTgzNTA1MzMwMjo6MDo6&url=%2FAWS-Certified-Solutions-Architect-Certification%2Fdp%2FB0F16J1366%2Fref%3Dsr_1_2_sspa%3Fcrid%3DSJ2602MC4ZE1%26keywords%3Dflume%2Bflume%2BData%2BArchitect%26qid%3D1743923950%26sprefix%3Dflume%2Bflume%2Bdata%2Barchitect%252Caps%252C673%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/416tV6miWVL._SY445_SX342_.jpg,Peter Pazurek,  AWS Certified Solutions Architect - Associate (SAA-C03) Practice Exams: 500 Practice Questions with Detailed Explanations & Exam Tips to Ace Your AWS Certification ,   $24.99  ,"Independently published (March 9, 2025)",English,362 pages,979-8312462234,"[(137, 'Cloud Computing (Books)'), (139, 'Teaching for Tests'), (715, 'Test Prep & Study Guides')]", 4.8 ,31 ratings
flume,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MjUyNDU1NjkyNTU3NjM5OjE3NDM5MjM5NTE6c3BfYnRmOjMwMDY5NTgzNTA1MzQwMjo6MDo6&url=%2FAWS-Certified-Solutions-Architect-Certification-ebook%2Fdp%2FB0F14KL8YL%2Fref%3Dsr_1_3_sspa%3Fcrid%3DSJ2602MC4ZE1%26keywords%3Dflume%2Bflume%2BData%2BArchitect%26qid%3D1743923950%26sprefix%3Dflume%2Bflume%2Bdata%2Barchitect%252Caps%252C673%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/71SbfJlxpbL._SY466_.jpg,Peter Pazurek,  AWS Certified Solutions Architect - Associate (SAA-C03) Practice Exams: 500 Practice Questions with Detailed Explanations & Exam Tips to Ace Your AWS Certification , $9.99 ,,English,,B0F16J1366,"[(2, 'Servers'), (18, 'Computer Engineering'), (47, 'Computer Networks, Protocols & APIs (Kindle Store)')]",,
