skill,link,image_link,author,title,price,publisher,language,num_page,isbn,rankings,rating,num_rating
helm,https://www.amazon.com/Site-Reliability-Engineering-Production-Systems/dp/149192912X/ref=sr_1_1?crid=3RB7B8QKAFF2M&dib=eyJ2IjoiMSJ9.qI7Oz3BO-9LLMjJ4XMORPVR31u05iyu9t-kyJ0X4mrc.tFEspjfvjbNNLg3LQXaKxJGbs3kP2LbZtTYVzz9Biko&dib_tag=se&keywords=helm+helm+Site+Reliability+Engineer&qid=1743955910&sprefix=helm+helm+s%2Caps%2C285&sr=8-1,https://m.media-amazon.com/images/I/511UGjarloL._SY445_SX342_.jpg,Jennifer Petoff,  Site Reliability Engineering: How Google Runs Production Systems ,   $31.33 with 48 percent savings    ,"O'Reilly Media; 1st edition (May 10, 2016)",English,550 pages,978-1491929124,"[(3, 'Linux Networking & System Administration'), (10, 'Software Testing'), (10, 'Computer Systems Analysis & Design (Books)')]", 4.7 ,"1,168 ratings"
helm,https://www.amazon.com/Site-Reliability-Workbook-Practical-Implement/dp/1492029505/ref=sr_1_2?crid=3RB7B8QKAFF2M&dib=eyJ2IjoiMSJ9.qI7Oz3BO-9LLMjJ4XMORPVR31u05iyu9t-kyJ0X4mrc.tFEspjfvjbNNLg3LQXaKxJGbs3kP2LbZtTYVzz9Biko&dib_tag=se&keywords=helm+helm+Site+Reliability+Engineer&qid=1743955910&sprefix=helm+helm+s%2Caps%2C285&sr=8-2,https://m.media-amazon.com/images/I/915+dyfxm0L._SY385_.jpg,Betsy Beyer,  The Site Reliability Workbook: Practical Ways to Implement SRE ,   $32.99 with 34 percent savings    ,"O'Reilly Media; 1st edition (August 4, 2018)",English,512 pages,978-1492029502,"[(27, 'Computer Network Administration'), (174, 'Computer Science (Books)')]", 4.6 ,370 ratings
