skill,link,image_link,author,title,price,publisher,language,num_page,isbn,rankings,rating,num_rating
openshift,https://www.amazon.com/Site-Reliability-Engineering-Production-Systems/dp/149192912X/ref=sr_1_1?crid=91SO43CCIFLJ&dib=eyJ2IjoiMSJ9.0mDnATP-_gjIpRtCCfGUAbvgaOup8jxdVw3-53CtN6DiMEwDoaF9HDQM6G6MEDHg4ZUvarVXNECfYXHhCDR8-_v5VETNEyWD_xKpMHJzB9g.v6VKyDIC_fzD501mNbwvxcctYCEdPzYpcW8Jn2hbuck&dib_tag=se&keywords=openshift+openshift+Site+Reliability+Engineer&qid=1743956792&sprefix=openshift+openshift+site+reliability+engineer%2Caps%2C728&sr=8-1,https://m.media-amazon.com/images/I/814nAGmpAGL._SY385_.jpg,Jennifer Petoff,  Site Reliability Engineering: How Google Runs Production Systems ,   $31.33 with 48 percent savings    ,"O'Reilly Media; 1st edition (May 10, 2016)",English,550 pages,978-1491929124,"[(3, 'Linux Networking & System Administration'), (10, 'Software Testing'), (10, 'Computer Systems Analysis & Design (Books)')]", 4.7 ,"1,168 ratings"
openshift,https://www.amazon.com/Operating-OpenShift-Approach-Managing-Infrastructure/dp/1098106393/ref=sr_1_2?crid=91SO43CCIFLJ&dib=eyJ2IjoiMSJ9.0mDnATP-_gjIpRtCCfGUAbvgaOup8jxdVw3-53CtN6DiMEwDoaF9HDQM6G6MEDHg4ZUvarVXNECfYXHhCDR8-_v5VETNEyWD_xKpMHJzB9g.v6VKyDIC_fzD501mNbwvxcctYCEdPzYpcW8Jn2hbuck&dib_tag=se&keywords=openshift+openshift+Site+Reliability+Engineer&qid=1743956792&sprefix=openshift+openshift+site+reliability+engineer%2Caps%2C728&sr=8-2,https://m.media-amazon.com/images/I/51h2jYxqjEL._SY445_SX342_.jpg,Rick Rackow,  Operating OpenShift: An SRE Approach to Managing Infrastructure ,   $44.94 with 32 percent savings    ,"O'Reilly Media; 1st edition (December 13, 2022)",English,264 pages,978-1098106393,"[(1434, 'Cloud Computing (Books)'), (2292, 'Software Development (Books)'), (3057, 'Web Development & Design Programming')]", 3.9 ,9 ratings
openshift,https://www.amazon.com/Site-Reliability-Workbook-Practical-Implement/dp/1492029505/ref=sr_1_3?crid=91SO43CCIFLJ&dib=eyJ2IjoiMSJ9.0mDnATP-_gjIpRtCCfGUAbvgaOup8jxdVw3-53CtN6DiMEwDoaF9HDQM6G6MEDHg4ZUvarVXNECfYXHhCDR8-_v5VETNEyWD_xKpMHJzB9g.v6VKyDIC_fzD501mNbwvxcctYCEdPzYpcW8Jn2hbuck&dib_tag=se&keywords=openshift+openshift+Site+Reliability+Engineer&qid=1743956792&sprefix=openshift+openshift+site+reliability+engineer%2Caps%2C728&sr=8-3,https://m.media-amazon.com/images/I/51h1fxZTc2L._SY445_SX342_.jpg,Betsy Beyer,  The Site Reliability Workbook: Practical Ways to Implement SRE ,   $32.99 with 34 percent savings    ,"O'Reilly Media; 1st edition (August 4, 2018)",English,512 pages,978-1492029502,"[(27, 'Computer Network Administration'), (174, 'Computer Science (Books)')]", 4.6 ,370 ratings
