skill,link,image_link,author,title,price,publisher,language,num_page,isbn,rankings,rating,num_rating
database design,https://www.amazon.com/Designing-Data-Intensive-Applications-Reliable-Maintainable/dp/1449373321/ref=sr_1_1?crid=B9DV8V4W04XH&dib=eyJ2IjoiMSJ9.I0cNx2pQfJ4O9esX8wyMEZd6nj4M84tSyZsWv9WPkpO2dQlJIAD6cr_rb_ZqSHY7JWOEXm9DGdhwInTqscMz4CMfifapSIFoYzbXIrg6LPjuQH3oeAh-wRLwYjuPNLYdM00DcrqJ_fQ-WMNMvxjrfLpztfI0C4ghpgY1sSG1HRDJYAOgAW8HBhjOVByz1QI4ewBsu_5Qq1ckiHd06_P0YQ0JCSP3t3KoqiYjRA85OLI.XbUPYWz_4v0gu4txDxCc23DBfs_qxq79YlSKdFVY35Q&dib_tag=se&keywords=database+design+database+design+Software+Engineer&qid=1743965670&sprefix=database+design+d%2Caps%2C369&sr=8-1,https://m.media-amazon.com/images/I/514xvNk9rTL._SY445_SX342_.jpg,Martin Kleppmann,"  Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems ",   $44.67  ,"O'Reilly Media; 1st edition (April 2, 2017)",English,614 pages,978-1449373320,"[(1, 'Data Modeling & Design (Books)'), (3, 'Computer Science (Books)'), (4, 'Computer Software (Books)')]", 4.7 ,"5,137 ratings"
database design,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NTkxNjMxOTAyODYzMDIyOjE3NDM5NjU2NzA6c3BfYXRmOjMwMDY3MjM4MjMwMDMwMjo6MDo6&url=%2FQA-QE-Excellence-Engineering-Transformation%2Fdp%2FB0DXD4342X%2Fref%3Dsr_1_2_sspa%3Fcrid%3DB9DV8V4W04XH%26dib%3DeyJ2IjoiMSJ9.I0cNx2pQfJ4O9esX8wyMEZd6nj4M84tSyZsWv9WPkpO2dQlJIAD6cr_rb_ZqSHY7JWOEXm9DGdhwInTqscMz4CMfifapSIFoYzbXIrg6LPjuQH3oeAh-wRLwYjuPNLYdM00DcrqJ_fQ-WMNMvxjrfLpztfI0C4ghpgY1sSG1HRDJYAOgAW8HBhjOVByz1QI4ewBsu_5Qq1ckiHd06_P0YQ0JCSP3t3KoqiYjRA85OLI.XbUPYWz_4v0gu4txDxCc23DBfs_qxq79YlSKdFVY35Q%26dib_tag%3Dse%26keywords%3Ddatabase%2Bdesign%2Bdatabase%2Bdesign%2BSoftware%2BEngineer%26qid%3D1743965670%26sprefix%3Ddatabase%2Bdesign%2Bd%252Caps%252C369%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71EqkDkMgyL._SY466_.jpg,Franscois Botha,  From QA to QE: Building Excellence in Modern Software Engineering (The Quality Engineering Transformation Series) ,   $29.99  ,"Independently published (February 10, 2025)",English,221 pages,979-8310790773,"[(20, 'Computer Quality Control'), (1248, 'Software Testing'), (1271, 'Quality Control (Books)')]", 5.0 ,1 rating
database design,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NTkxNjMxOTAyODYzMDIyOjE3NDM5NjU2NzA6c3BfYXRmOjMwMDA5ODE5ODk2OTYwMjo6MDo6&url=%2FEssential-Software-Development-Career-Technical%2Fdp%2FB0BW2MGZ53%2Fref%3Dsr_1_3_sspa%3Fcrid%3DB9DV8V4W04XH%26dib%3DeyJ2IjoiMSJ9.I0cNx2pQfJ4O9esX8wyMEZd6nj4M84tSyZsWv9WPkpO2dQlJIAD6cr_rb_ZqSHY7JWOEXm9DGdhwInTqscMz4CMfifapSIFoYzbXIrg6LPjuQH3oeAh-wRLwYjuPNLYdM00DcrqJ_fQ-WMNMvxjrfLpztfI0C4ghpgY1sSG1HRDJYAOgAW8HBhjOVByz1QI4ewBsu_5Qq1ckiHd06_P0YQ0JCSP3t3KoqiYjRA85OLI.XbUPYWz_4v0gu4txDxCc23DBfs_qxq79YlSKdFVY35Q%26dib_tag%3Dse%26keywords%3Ddatabase%2Bdesign%2Bdatabase%2Bdesign%2BSoftware%2BEngineer%26qid%3D1743965670%26sprefix%3Ddatabase%2Bdesign%2Bd%252Caps%252C369%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71oHZcp-kQL._SY466_.jpg,AppJungle.NET LLC -,"  Essential Software Development Career + Technical Guide: Engineers/Developers/Programmers: Interviewing, Coding, Multithreading, Management, Architecture, Agile, Crypto, Security, Performance, UI/UX.. ",   $29.95  ,"AppJungle.NET LLC (March 5, 2023)",English,684 pages,979-8218132460,"[(20, 'Agile Project Management'), (214, 'Microsoft Programming (Books)'), (315, 'Software Development (Books)')]", 4.8 ,111 ratings
