skill,link,image_link,author,title,price,publisher,language,num_page,isbn,rankings,rating,num_rating
jest,https://www.amazon.com/Mastering-Test-Driven-Development-React-Applications/dp/B0DPGDH62C/ref=sr_1_1?crid=KLDWDQS1AM5X&dib=eyJ2IjoiMSJ9.B9EKts5FJeKI6IjZ61-mxvbTdCtjN92kiDbKAy1x6Eb4Ooa5Lmu4ABNbbrdFK5KGTMbUBvDxbccf0ltNokh6gGcR1L3t1pgrcy9quWokpn8WAVvauGWKUnBZq5tgLTaZ.gI6hL5ehuUsF4gi53brudwr7gqiSJbd1FUQLH-4BSI4&dib_tag=se&keywords=jest+jest+Software+Engineer&qid=1743967078&sprefix=jest+jest%2Caps%2C231&sr=8-1,https://m.media-amazon.com/images/I/61LR8Wwq6KL._SY385_.jpg,Ravi Kumar Kumar Gupta,"  Mastering Test-Driven Development with React: Build Uncluttered and Robust React Applications Using Test-Driven Development Principles with Jest, React Testing Library, and Mocha (English Edition) ",   $39.95  ,"Orange Education Pvt. Ltd (December 2, 2024)",English,233 pages,978-8196862077,"[(1603, 'JavaScript Programming (Books)'), (2147, 'Software Testing'), (6241, 'Computer Programming Languages')]",,
jest,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjU0OTA0MTI0NzcwMzI4OjE3NDM5NjcwNzk6c3BfYXRmOjMwMDYyNjYwODgzMDYwMjo6MDo6&url=%2FBehavioral-Interview-Guide-Software-Engineers%2Fdp%2FB0DRYP1F4S%2Fref%3Dsr_1_2_sspa%3Fcrid%3DKLDWDQS1AM5X%26dib%3DeyJ2IjoiMSJ9.B9EKts5FJeKI6IjZ61-mxvbTdCtjN92kiDbKAy1x6Eb4Ooa5Lmu4ABNbbrdFK5KGTMbUBvDxbccf0ltNokh6gGcR1L3t1pgrcy9quWokpn8WAVvauGWKUnBZq5tgLTaZ.gI6hL5ehuUsF4gi53brudwr7gqiSJbd1FUQLH-4BSI4%26dib_tag%3Dse%26keywords%3Djest%2Bjest%2BSoftware%2BEngineer%26qid%3D1743967078%26sprefix%3Djest%2Bjest%252Caps%252C231%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61UfgeQOQvL._SY466_.jpg,Martha Gage,  Behavioral Interview Guide for Software Engineers: Proven Strategies for Confident Answers ,   $12.95  ,"Independently published (December 30, 2024)",English,157 pages,979-8305378467,"[(493, 'Job Interviewing (Books)'), (1473, 'Software Development (Books)'), (3056, 'Job Hunting & Career Guides')]", 4.6 ,17 ratings
jest,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjU0OTA0MTI0NzcwMzI4OjE3NDM5NjcwNzk6c3BfYXRmOjMwMDY3MjM4MjMwMDUwMjo6MDo6&url=%2FQA-QE-Excellence-Engineering-Transformation%2Fdp%2FB0DXD5RNP8%2Fref%3Dsr_1_3_sspa%3Fcrid%3DKLDWDQS1AM5X%26dib%3DeyJ2IjoiMSJ9.B9EKts5FJeKI6IjZ61-mxvbTdCtjN92kiDbKAy1x6Eb4Ooa5Lmu4ABNbbrdFK5KGTMbUBvDxbccf0ltNokh6gGcR1L3t1pgrcy9quWokpn8WAVvauGWKUnBZq5tgLTaZ.gI6hL5ehuUsF4gi53brudwr7gqiSJbd1FUQLH-4BSI4%26dib_tag%3Dse%26keywords%3Djest%2Bjest%2BSoftware%2BEngineer%26qid%3D1743967078%26sprefix%3Djest%2Bjest%252Caps%252C231%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41TaamuiyzL._SY445_SX342_.jpg,Franscois Botha,  From QA to QE: Building Excellence in Modern Software Engineering (The Quality Engineering Transformation Series) ,   $33.99  ,"Independently published (February 15, 2025)",English,,979-8310882713,[], 5.0 ,1 rating
