skill,link,image_link,author,title,price,publisher,language,num_page,isbn,rankings,rating,num_rating
ci/cd,https://www.amazon.com/Cloud-Ready-NET-Applications-Developers-Integrating-ebook/dp/B0F39D147G/ref=sr_1_1?crid=1SAF27TV1ATL2&dib=eyJ2IjoiMSJ9.APbHury1NrZeI03PGhy9GDVHKOzT4xa7HOiw9w7Edok.H6WzphVtqW9QTPnIfeX0cbuk1BAm_c7_6EUANn8jwjw&dib_tag=se&keywords=ci%2Fcd+ci%2Fcd+Web+Developer&qid=1743972738&sprefix=ci%2Fcd+ci%2Fcd+web+developer%2Caps%2C473&sr=8-1,https://m.media-amazon.com/images/I/718QA50dCML._SY466_.jpg,BOSCO-IT CONSULTING,"  Cloud-Ready .NET: Building and Deploying .NET Applications on Microsoft Azure: A Developer’s Guide to Integrating, Hosting, and Scaling .NET Solutions Using Azure Services ", $6.90 ,,English,,,[],,
ci/cd,https://www.amazon.com/Jakarta-Cookbook-enterprise-developers-applications-ebook/dp/B089B7G9CC/ref=sr_1_2?crid=1SAF27TV1ATL2&dib=eyJ2IjoiMSJ9.APbHury1NrZeI03PGhy9GDVHKOzT4xa7HOiw9w7Edok.H6WzphVtqW9QTPnIfeX0cbuk1BAm_c7_6EUANn8jwjw&dib_tag=se&keywords=ci%2Fcd+ci%2Fcd+Web+Developer&qid=1743972738&sprefix=ci%2Fcd+ci%2Fcd+web+developer%2Caps%2C473&sr=8-2,https://m.media-amazon.com/images/I/81IGryFefNL._SY385_.jpg,Elder Moraes,"  Jakarta EE Cookbook: Practical recipes for enterprise Java developers to deliver large scale applications with Jakarta EE, 2nd Edition ", $16.54 with 39 percent savings ,,,,,[],,
ci/cd,https://www.amazon.comhttps://aax-us-iad.amazon.com/x/c/JJaN9q63yndo4C41zrjl-hcAAAGWDOAngwEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICCOgWAy/clv1_CEuOPUxokZA0iHrVXuB2mTjKTlN3CLg6kJU30iGtx71b138Ash_Xdfw18nHz9hvWjq0yzpNb3XTPsunPSGcAA084bTuLGOn_SUMCQkNBbEaGLNhSokfB8IkGXHyqUSU54icYr4BrIqFv-9TEVLwzQDf-wNLFlzFRTYrt73QYmX-UtK2DgEd_WFSzdIXkLaUoBzYGbdaZ0ZwaSSxlfMISbq1W1pf3zYVnHgKUMqczyEpG8IxtlKKkQAwjgEbKuUJJGXTsMbnWph5ikU0TM4F8YhCwJzP6ulyLEciLzLj1U4Qzemrj95ip8A2PPTLMBIOiw7QiwMuyI68S-f2ratK7JNVY_Mx5Bxw9o2x3sLQAJrZxNgUJKw3_BBXFwcbLWQ/https://www.amazon.com/PCmover-Professional-11-Use-Download/dp/B07QHLRL1H/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.2f0a8989-0b67-47e7-b61e-9e3ef9908602%3Aamzn1.sym.2f0a8989-0b67-47e7-b61e-9e3ef9908602&crid=1SAF27TV1ATL2&cv_ct_cx=ci%2Fcd+ci%2Fcd+Web+Developer&keywords=ci%2Fcd+ci%2Fcd+Web+Developer&pd_rd_i=B07QHLRL1H&pd_rd_r=c1b3fa94-21ea-4b55-8ae4-d7b920a06288&pd_rd_w=fy3wH&pd_rd_wg=RdCc5&pf_rd_p=2f0a8989-0b67-47e7-b61e-9e3ef9908602&pf_rd_r=5RV6PMJB2C1M1KRTTMX5&qid=1743972738&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ci%2Fcd+ci%2Fcd+web+developer%2Caps%2C473&sr=1-1-a61ee601-6e56-4862-a8a2-1d3da5a5406f,https://m.media-amazon.com/images/I/81wHLB1TuAL._AC_SY679_.jpg,,"        Laplink PCmover Professional | Instant Download | Single Use License | Moves Applications, Files, and Settings to Your New PC       ",,,,,,"[(2, 'PC Maintenance')]", 3.7 ,"1,163 ratings"
