skill,link,image_link,author,title,price,publisher,language,num_page,isbn,rankings,rating,num_rating
salesforce,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMzE2OTA5OTc5MzcxNTc2OjE3NDM5NTI1MDk6c3BfYXRmOjMwMDY1MTcwNjA4MjAwMjo6MDo6&url=%2FProject-Math-Techniques-Management-Stakeholders%2Fdp%2F1718009992%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3OM9L8A1KA3M7%26dib%3DeyJ2IjoiMSJ9.EPM6OKQNq6PkVhKTOXeBXvf8_bf_toJkl2FzXsG2PDTfMUquqTKlzihF-YOwRMPuvU_OY-8aj4er5OuZ7GD7GUpBzYC1gxm43B2Kzf7nBEm7ilgp-JcGEubGZzbpAbJsCOBhpl969_E-DUclAJrmkR8qUWWYeXcacNW6z2t5eLTRhJG8ZU275O83RFqO6MxLGbyCfURyIaBQTOgt3OZavLCGXPVq8PCKXKPktARnIpg.5tu4vGmsqn4j_c_qrEBi3RSIHW1UW_N275ibs0Od_8Q%26dib_tag%3Dse%26keywords%3Dsalesforce%2Bsalesforce%2BProject%2BManager%26qid%3D1743952509%26sprefix%3Dsalesforce%2Bsalesforce%2Bproject%2Bmanager%252Caps%252C505%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/715jfhQZQNL._SY466_.jpg,Dr. James A Robison,"  Project Math: Tools and Techniques for Project Managers, Agile Coaches and Scrum Masters, Project Sponsors and Business Analysts, Project Management Offices, Team Members, and Engaged Stakeholders ",   $39.95  ,"Independently published (August 7, 2018)",English,275 pages,978-1718009998,"[(118, 'PMP Exam'), (336, 'Spreadsheet Books'), (885, 'Business Project Management (Books)')]", 4.8 ,18 ratings
salesforce,https://www.amazon.com/Salesforce-End-End-Implementation-Handbook-ebook/dp/B0BHT8YMYR/ref=sr_1_2?crid=3OM9L8A1KA3M7&dib=eyJ2IjoiMSJ9.EPM6OKQNq6PkVhKTOXeBXvf8_bf_toJkl2FzXsG2PDTfMUquqTKlzihF-YOwRMPuvU_OY-8aj4er5OuZ7GD7GUpBzYC1gxm43B2Kzf7nBEm7ilgp-JcGEubGZzbpAbJsCOBhpl969_E-DUclAJrmkR8qUWWYeXcacNW6z2t5eLTRhJG8ZU275O83RFqO6MxLGbyCfURyIaBQTOgt3OZavLCGXPVq8PCKXKPktARnIpg.5tu4vGmsqn4j_c_qrEBi3RSIHW1UW_N275ibs0Od_8Q&dib_tag=se&keywords=salesforce+salesforce+Project+Manager&qid=1743952509&sprefix=salesforce+salesforce+project+manager%2Caps%2C505&sr=8-2,https://m.media-amazon.com/images/I/81C6ADcv8HL._SY385_.jpg,Kristian Margaryan Jorgensen,  Salesforce End-to-End Implementation Handbook: A practitioner's guide for setting up programs and projects to deliver superior business outcomes , $22.39 with 38 percent savings ,,,,,[],,
salesforce,https://www.amazon.com/Salesforce-Beginners-step-step-automating/dp/183898609X/ref=sr_1_3?crid=3OM9L8A1KA3M7&dib=eyJ2IjoiMSJ9.EPM6OKQNq6PkVhKTOXeBXvf8_bf_toJkl2FzXsG2PDTfMUquqTKlzihF-YOwRMPuvU_OY-8aj4er5OuZ7GD7GUpBzYC1gxm43B2Kzf7nBEm7ilgp-JcGEubGZzbpAbJsCOBhpl969_E-DUclAJrmkR8qUWWYeXcacNW6z2t5eLTRhJG8ZU275O83RFqO6MxLGbyCfURyIaBQTOgt3OZavLCGXPVq8PCKXKPktARnIpg.5tu4vGmsqn4j_c_qrEBi3RSIHW1UW_N275ibs0Od_8Q&dib_tag=se&keywords=salesforce+salesforce+Project+Manager&qid=1743952509&sprefix=salesforce+salesforce+project+manager%2Caps%2C505&sr=8-3,https://m.media-amazon.com/images/I/51OvL+LxDiL._SX342_SY445_.jpg,Sharif Shaalan,"  Salesforce for Beginners: A step-by-step guide to creating, managing, and automating sales and marketing processes ",   $39.88  ,"Packt Publishing (May 29, 2020)",English,472 pages,978-1838986094,"[(371, 'Enterprise Applications'), (877, 'Internet & Telecommunications'), (1966, 'Computer Science (Books)')]", 4.4 ,198 ratings
