skill,link,image_link,author,title,price,publisher,language,num_page,isbn,rankings,rating,num_rating
ccna,https://www.amazon.com/CCNA-200-301-Official-Guide-Library/dp/1587147149/ref=sr_1_1?crid=2KY2IFPCE6HF7&dib=eyJ2IjoiMSJ9.tz7S8FyWD48EQsIoGZuolSUIP9kmSPj0tPLoBrvi1j9JVjDvVk-GgUYz5KVVG35r.6Y7Cm_BUwWN4T4YdXvYCSWjMjyfl-Wqno-HRqWCS0UM&dib_tag=se&keywords=ccna+ccna+DevOps+Engineer&qid=1743933856&sprefix=ccna+ccna+devops+engineer%2Caps%2C406&sr=8-1,https://m.media-amazon.com/images/I/71eBWiT8pXL._SY385_.jpg,Wendell Odom,  CCNA 200-301 Official Cert Guide Library ,   $56.61 with 19 percent savings    ,"Cisco Press; 1st edition (December 31, 2019)",English,,978-1587147142,"[(7, 'Cisco Certification Guides'), (176, 'Computer Science (Books)')]", 4.7 ,"2,332 ratings"
ccna,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MDgzOTU1MzM1MjUyMzM3OjE3NDM5MzM4NTY6c3BfYXRmOjMwMDY1OTE3MzA4ODkwMjo6MDo6&url=%2FEngineering-AI-Systems-Architecture-Essentials%2Fdp%2F0138261415%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2KY2IFPCE6HF7%26dib%3DeyJ2IjoiMSJ9.tz7S8FyWD48EQsIoGZuolSUIP9kmSPj0tPLoBrvi1j9JVjDvVk-GgUYz5KVVG35r.6Y7Cm_BUwWN4T4YdXvYCSWjMjyfl-Wqno-HRqWCS0UM%26dib_tag%3Dse%26keywords%3Dccna%2Bccna%2BDevOps%2BEngineer%26qid%3D1743933856%26sprefix%3Dccna%2Bccna%2Bdevops%2Bengineer%252Caps%252C406%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51YGIdn3gPL._SY445_SX342_.jpg,Len Bass,  Engineering AI Systems: Architecture and DevOps Essentials ,   $42.87 with 14 percent savings    ,"Addison-Wesley Professional; 1st edition (February 11, 2025)",English,320 pages,978-0138261412,"[(65, 'Software Design & Engineering'), (355, 'Software Development (Books)'), (744, 'Artificial Intelligence & Semantics')]",,
ccna,https://www.amazon.com/CCNA-Certification-Practice-Tests-200-301/dp/111966988X/ref=sr_1_3?crid=2KY2IFPCE6HF7&dib=eyJ2IjoiMSJ9.tz7S8FyWD48EQsIoGZuolSUIP9kmSPj0tPLoBrvi1j9JVjDvVk-GgUYz5KVVG35r.6Y7Cm_BUwWN4T4YdXvYCSWjMjyfl-Wqno-HRqWCS0UM&dib_tag=se&keywords=ccna+ccna+DevOps+Engineer&qid=1743933856&sprefix=ccna+ccna+devops+engineer%2Caps%2C406&sr=8-3,https://m.media-amazon.com/images/I/810G3PVjGhL._SY385_.jpg,Jon Buhagiar,  CCNA Certification Practice Tests: Exam 200-301 ,   $40.90 with 9 percent savings    ,"Sybex; 1st edition (April 7, 2020)",English,464 pages,978-1119669883,"[(121, 'Cisco Certification Guides'), (399, 'Security Certifications'), (3313, 'Computer Science (Books)')]", 4.6 ,170 ratings
