skill,link,image_link,author,title,price,publisher,language,num_page,isbn,rankings,rating,num_rating
t-sql,https://www.amazon.com/T-SQL-Window-Functions-Developer-Reference/dp/0135861446/ref=sr_1_1?crid=T05SEH4KUK3Q&dib=eyJ2IjoiMSJ9.SWxLz0ncA6UMO40WdXJjHH1AGxR2Y_QmYLu46I-2FhPGjHj071QN20LucGBJIEps.kvd6a0J1EAeNAO7VqEJQr7Cw-um-uGDLURe7w1fsxng&dib_tag=se&keywords=t-sql+t-sql+Data+Architect&qid=1743927445&sprefix=t-sql+t-sql+data+architect%2Caps%2C621&sr=8-1,https://m.media-amazon.com/images/I/41hau1dIqJL._SX342_SY445_.jpg,Itzik Ben-Gan,  T-SQL Window Functions: For data analysis and beyond (Developer Reference) ,   $39.99  ,"Microsoft Press; 2nd edition (November 4, 2019)",English,352 pages,978-0135861448,"[(43, 'Microsoft SQL Server'), (181, 'SQL'), (3167, 'Programming Languages (Books)')]", 4.8 ,77 ratings
t-sql,https://www.amazon.com/Learn-T-SQL-Querying-developing-efficient/dp/1789348811/ref=sr_1_2?crid=T05SEH4KUK3Q&dib=eyJ2IjoiMSJ9.SWxLz0ncA6UMO40WdXJjHH1AGxR2Y_QmYLu46I-2FhPGjHj071QN20LucGBJIEps.kvd6a0J1EAeNAO7VqEJQr7Cw-um-uGDLURe7w1fsxng&dib_tag=se&keywords=t-sql+t-sql+Data+Architect&qid=1743927445&sprefix=t-sql+t-sql+data+architect%2Caps%2C621&sr=8-2,https://m.media-amazon.com/images/I/61vxTfQM8+L._SY385_.jpg,Pedro Lopes,  Learn T-SQL Querying: A guide to developing efficient and elegant T-SQL code ,   $41.99  ,"Packt Publishing (May 3, 2019)",English,484 pages,978-1789348811,"[(775, 'Data Modeling & Design (Books)'), (780, 'Data Mining (Books)'), (1158, 'Data Processing')]", 4.7 ,50 ratings
t-sql,https://www.amazon.com/T-SQL-Fundamentals-3rd-Itzik-Ben-Gan/dp/150930200X/ref=sr_1_3?crid=T05SEH4KUK3Q&dib=eyJ2IjoiMSJ9.SWxLz0ncA6UMO40WdXJjHH1AGxR2Y_QmYLu46I-2FhPGjHj071QN20LucGBJIEps.kvd6a0J1EAeNAO7VqEJQr7Cw-um-uGDLURe7w1fsxng&dib_tag=se&keywords=t-sql+t-sql+Data+Architect&qid=1743927445&sprefix=t-sql+t-sql+data+architect%2Caps%2C621&sr=8-3,https://m.media-amazon.com/images/I/51srim4fFxL._SY385_.jpg,Itzik Ben-Gan,  T-SQL Fundamentals (Developer Reference) ,   $43.65 with 13 percent savings    ,"Microsoft Press; 3rd edition (August 3, 2016)",English,464 pages,978-1509302000,"[(20, 'Microsoft SQL Server'), (105, 'SQL'), (488, 'Computer Programming Languages')]", 4.7 ,403 ratings
