skill,link,image_link,author,title,price,publisher,language,num_page,isbn,rankings,rating,num_rating
kubernetes,https://www.amazon.com/Kubernetes-Action-Marko-Luksa/dp/1617293725/ref=sr_1_1?crid=3S6PIOQG0JWV&dib=eyJ2IjoiMSJ9.vnECAzmPSfY22czsj8JX11kUwQwvdwo9CXcr85ZmUY_B7yvzDkxjMOSXsKZky_HSMmwHeocNbRM5Qf08NkKGTIvh06NzZ3RQJxREeJRcX6uiKov4dikYb6Swtfw6NttXxac3o2UH4hG9DtdlRpaZyxwPMwrdIzpYUOQi6Kyt93vupv_MHRK40aeCssl9tPSkjESLqrHxfGv2S1urcE7BP30U4-FX-C2liHtdXxNruZ8.hxPvRGgTKJmyr_LhiYkf46RsRTB-RyCwR805izXUwzc&dib_tag=se&keywords=kubernetes+kubernetes+Software+Engineer&qid=1743967365&sprefix=kubernetes+kub%2Caps%2C290&sr=8-1,https://m.media-amazon.com/images/I/41++ixQCO3L._SX342_SY445_.jpg,Marko Luksa,  Kubernetes in Action ,   $37.24 with 38 percent savings    ,"Manning; First Edition (January 20, 2018)",English,624 pages,978-1617293726,"[(108, 'Software Development (Books)'), (117, 'Internet & Telecommunications'), (189, 'Programming Languages (Books)')]", 4.7 ,329 ratings
kubernetes,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MzgxNTg5OTYwNDE5ODg0OjE3NDM5NjczNjU6c3BfYXRmOjMwMDQ5NTc3NTU1OTAwMjo6MDo6&url=%2FMulti-Cloud-Mastery-Architecting-Kubernetes-Infrastructures%2Fdp%2FB0DK477TJ1%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3S6PIOQG0JWV%26dib%3DeyJ2IjoiMSJ9.vnECAzmPSfY22czsj8JX11kUwQwvdwo9CXcr85ZmUY_B7yvzDkxjMOSXsKZky_HSMmwHeocNbRM5Qf08NkKGTIvh06NzZ3RQJxREeJRcX6uiKov4dikYb6Swtfw6NttXxac3o2UH4hG9DtdlRpaZyxwPMwrdIzpYUOQi6Kyt93vupv_MHRK40aeCssl9tPSkjESLqrHxfGv2S1urcE7BP30U4-FX-C2liHtdXxNruZ8.hxPvRGgTKJmyr_LhiYkf46RsRTB-RyCwR805izXUwzc%26dib_tag%3Dse%26keywords%3Dkubernetes%2Bkubernetes%2BSoftware%2BEngineer%26qid%3D1743967365%26sprefix%3Dkubernetes%2Bkub%252Caps%252C290%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41iwaKIS76L._SX342_SY445_.jpg,Adam Robertson,  Multi-Cloud Mastery: Architecting Secure and Scalable Kubernetes Systems and Infrastructures. ,   $19.99  ,"Independently published (October 8, 2024)",English,380 pages,979-8342063449,"[(29, 'Linux Servers'), (329, 'Linux Networking & System Administration'), (1146, 'Cloud Computing (Books)')]", 4.9 ,27 ratings
kubernetes,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MzgxNTg5OTYwNDE5ODg0OjE3NDM5NjczNjU6c3BfYXRmOjMwMDA5ODE5ODk2OTYwMjo6MDo6&url=%2FEssential-Software-Development-Career-Technical%2Fdp%2FB0BW2MGZ53%2Fref%3Dsr_1_3_sspa%3Fcrid%3D3S6PIOQG0JWV%26dib%3DeyJ2IjoiMSJ9.vnECAzmPSfY22czsj8JX11kUwQwvdwo9CXcr85ZmUY_B7yvzDkxjMOSXsKZky_HSMmwHeocNbRM5Qf08NkKGTIvh06NzZ3RQJxREeJRcX6uiKov4dikYb6Swtfw6NttXxac3o2UH4hG9DtdlRpaZyxwPMwrdIzpYUOQi6Kyt93vupv_MHRK40aeCssl9tPSkjESLqrHxfGv2S1urcE7BP30U4-FX-C2liHtdXxNruZ8.hxPvRGgTKJmyr_LhiYkf46RsRTB-RyCwR805izXUwzc%26dib_tag%3Dse%26keywords%3Dkubernetes%2Bkubernetes%2BSoftware%2BEngineer%26qid%3D1743967365%26sprefix%3Dkubernetes%2Bkub%252Caps%252C290%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/414Ndc9kQlL._SY445_SX342_.jpg,AppJungle.NET LLC -,"  Essential Software Development Career + Technical Guide: Engineers/Developers/Programmers: Interviewing, Coding, Multithreading, Management, Architecture, Agile, Crypto, Security, Performance, UI/UX.. ",   $29.95  ,"AppJungle.NET LLC (March 5, 2023)",English,684 pages,979-8218132460,"[(20, 'Agile Project Management'), (214, 'Microsoft Programming (Books)'), (315, 'Software Development (Books)')]", 4.8 ,111 ratings
