skill,link,image_link,author,title,price,publisher,language,num_page,isbn,rankings,rating,num_rating
postgres,https://www.amazon.com/Learn-PostgreSQL-high-performance-database-solutions-ebook/dp/B0881XNLGZ/ref=sr_1_1?crid=2X1WV67NBO045&dib=eyJ2IjoiMSJ9.qwfYrFhEewV2zKjd98uCXZGA8KcVeRatRctGsIt-lTFk-r7hoUigRXdWvZdDfYm-jdCx1atfpeQ-kDdHyg_ouNoOKEPU2bgRbwKrQ_QVi04cYSe3gkVB2_KacfiFwgoLN_u1lPj3yN8w33TkP28mYt2rmpKWeaCfsSAFvztvhec4GRbaVo7OM9icYJgPEePL8ZG5Qwhl1oT9XfjnGRFjDUDeDaM0Yp1gH3RNM4VlhGM.vj3clzRnsKG0FUARDAag5UIUeSbcEKq7kAO8pO-iT9w&dib_tag=se&keywords=postgresql+postgresql+machine+learning+engineer&qid=1743947284&sprefix=postgres+postgres+machine+learning+e%2Caps%2C437&sr=8-1,https://m.media-amazon.com/images/I/91iCeLth0+L._SY385_.jpg,Luca Ferrari,  Learn PostgreSQL: Build and manage high-performance database solutions using PostgreSQL 12 and 13 , $22.39 with 38 percent savings ,"Packt Publishing; 1st edition (October 9, 2020)",English,,,"[(65, 'Servers'), (954, 'Data Mining (Books)')]",,
postgres,https://www.amazon.com/Beginning-Databases-PostgreSQL-Novice-Professional/dp/1590594789/ref=sr_1_2?crid=2X1WV67NBO045&dib=eyJ2IjoiMSJ9.qwfYrFhEewV2zKjd98uCXZGA8KcVeRatRctGsIt-lTFk-r7hoUigRXdWvZdDfYm-jdCx1atfpeQ-kDdHyg_ouNoOKEPU2bgRbwKrQ_QVi04cYSe3gkVB2_KacfiFwgoLN_u1lPj3yN8w33TkP28mYt2rmpKWeaCfsSAFvztvhec4GRbaVo7OM9icYJgPEePL8ZG5Qwhl1oT9XfjnGRFjDUDeDaM0Yp1gH3RNM4VlhGM.vj3clzRnsKG0FUARDAag5UIUeSbcEKq7kAO8pO-iT9w&dib_tag=se&keywords=postgresql+postgresql+machine+learning+engineer&qid=1743947284&sprefix=postgres+postgres+machine+learning+e%2Caps%2C437&sr=8-2,https://m.media-amazon.com/images/I/71wXo9umNOL._SY385_.jpg,Neil Matthew,  Beginning Databases with PostgreSQL: From Novice to Professional (Beginning From Novice to Professional) ,   $54.23 with 40 percent savings    ,"Apress; 2nd edition (April 7, 2005)",English,688 pages,978-1590594780,"[(413, 'Software Design & Engineering'), (1904, 'Software Development (Books)'), (2838, 'Databases & Big Data')]", 4.3 ,47 ratings
postgres,https://www.amazon.com/Practical-SQL-2nd-Beginners-Storytelling/dp/1718501064/ref=sr_1_3?crid=2X1WV67NBO045&dib=eyJ2IjoiMSJ9.qwfYrFhEewV2zKjd98uCXZGA8KcVeRatRctGsIt-lTFk-r7hoUigRXdWvZdDfYm-jdCx1atfpeQ-kDdHyg_ouNoOKEPU2bgRbwKrQ_QVi04cYSe3gkVB2_KacfiFwgoLN_u1lPj3yN8w33TkP28mYt2rmpKWeaCfsSAFvztvhec4GRbaVo7OM9icYJgPEePL8ZG5Qwhl1oT9XfjnGRFjDUDeDaM0Yp1gH3RNM4VlhGM.vj3clzRnsKG0FUARDAag5UIUeSbcEKq7kAO8pO-iT9w&dib_tag=se&keywords=postgresql+postgresql+machine+learning+engineer&qid=1743947284&sprefix=postgres+postgres+machine+learning+e%2Caps%2C437&sr=8-3,https://m.media-amazon.com/images/I/51W-XOcTNEL._SY445_SX342_.jpg,Anthony DeBarros,"  Practical SQL, 2nd Edition: A Beginner's Guide to Storytelling with Data ",   $27.41 with 31 percent savings    ,"No Starch Press; 2nd edition (January 25, 2022)",English,464 pages,978-1718501065,"[(1, 'Computer Programming Structured Design'), (2, 'SQL'), (8, 'Data Mining (Books)')]", 4.7 ,226 ratings
